2023-02-13 06:59:57,985 INFO    MainThread:1817 [wandb_setup.py:_flush():68] Configure stats pid to 1817
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_setup.py:_flush():68] Loading settings from /Users/adamelshimi/.config/wandb/settings
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_setup.py:_flush():68] Loading settings from /Users/adamelshimi/Desktop/Udacity/MLDevOps/lesson-1-machine-learning-pipelines/exercises/exercise_2/starter/wandb/settings
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'download_data.py', 'program': 'download_data.py'}
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_init.py:_log_setup():478] Logging user logs to /Users/adamelshimi/Desktop/Udacity/MLDevOps/lesson-1-machine-learning-pipelines/exercises/exercise_2/starter/wandb/run-20230213_065957-l4pgv0tp/logs/debug.log
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_init.py:_log_setup():479] Logging internal logs to /Users/adamelshimi/Desktop/Udacity/MLDevOps/lesson-1-machine-learning-pipelines/exercises/exercise_2/starter/wandb/run-20230213_065957-l4pgv0tp/logs/debug-internal.log
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_init.py:init():518] calling init triggers
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_init.py:init():571] starting backend
2023-02-13 06:59:57,986 INFO    MainThread:1817 [wandb_init.py:init():575] setting up manager
2023-02-13 06:59:57,992 INFO    MainThread:1817 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-02-13 06:59:57,995 INFO    MainThread:1817 [wandb_init.py:init():582] backend started and connected
2023-02-13 06:59:57,997 INFO    MainThread:1817 [wandb_init.py:init():670] updated telemetry
2023-02-13 06:59:57,998 INFO    MainThread:1817 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-02-13 06:59:58,502 INFO    MainThread:1817 [wandb_run.py:_on_init():2121] communicating current version
2023-02-13 06:59:58,638 INFO    MainThread:1817 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.13.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-02-13 06:59:58,638 INFO    MainThread:1817 [wandb_init.py:init():758] starting run threads in backend
2023-02-13 07:00:01,207 INFO    MainThread:1817 [wandb_run.py:_console_start():2101] atexit reg
2023-02-13 07:00:01,207 INFO    MainThread:1817 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-02-13 07:00:01,207 INFO    MainThread:1817 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-02-13 07:00:01,208 INFO    MainThread:1817 [wandb_run.py:_redirect():2046] Redirects installed.
2023-02-13 07:00:01,208 INFO    MainThread:1817 [wandb_init.py:init():798] run started, returning control to user process
2023-02-13 07:00:02,984 INFO    MainThread:1817 [wandb_run.py:_finish():1844] finishing run adames88/exercise_2/l4pgv0tp
2023-02-13 07:00:02,984 INFO    MainThread:1817 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2023-02-13 07:00:02,984 INFO    MainThread:1817 [wandb_run.py:_restore():2053] restore
2023-02-13 07:00:02,985 INFO    MainThread:1817 [wandb_run.py:_restore():2059] restore done
2023-02-13 07:00:07,183 INFO    MainThread:1817 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2023-02-13 07:00:07,183 INFO    MainThread:1817 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2023-02-13 07:00:07,190 INFO    MainThread:1817 [wandb_run.py:_footer_sync_info():3383] logging synced files
